myunique_id,myanger_direction,mydeveloper_comment,Opinions
1020231_2,oth,'Pull it back in if you think different.' ,
654180_1,oth,'Sorry I guess I am against 'never computing this shit'... because you guys think returning NaN is ok.' ,
2181040_1,oth,'I do not have to ensure that the classloader knows groovy classes you must do that.' ,
711843_6,oth,'Maybe only one of us should play lawyer and the other one play engineer.' ,other 
2148299_4,oth,'Also your username was stupidly named and confusing so I deleted it and created a new one more appropriate.' ,
2259612_1,oth,'fuck u' ,
1429235_1,oth,'damn this was assigned to you since months.' ,
685936_2,oth,'Where on earth are you anyway?' ,
1078380_2,oth,'Who made this stupid rule?' ,stupid 
2194394_1,oth,'who the hell starts using our jira for typing lessons ?!?' ,
1569844_1,oth,'Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... Did you just tell me to go fuck myself?' ,
331800_3,oth,'They do not vote theywhine that something or everything sucks.' ,
579540_1,oth,'Oleg please accept that my 'logical' is different from your 'logical'.' ,
2014921_2,oth,'What the hell are you waiting for ?' ,
796834_9,oth,'Unfortunately in these days where everyone that can put a CDthe right way up in a drive is a Linux/Unix/Windows/Internet Expert this has become pretty common.' ,right 
1832159_1,oth,'Why the hell do they deliver Duration if they cannot instantiate it -/' ,
1462478_4,oth,'Then you are pretty well screwed.' ,
706069_21,oth,'But please do not say that my reasoning is bad because it is not.' ,
711843_8,oth,'Then to make matters worse since the mid-1990 is I have been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I am an amateur. ' ,non-profit 
1014870_9,oth,'You are messing down deep below hbase in dfs.' ,
654182_1,oth,'who the fuck is asking for scores but not the max score and why does their insanely specialized use case justify all these booleans on a central lucene class.' ,
711843_9,oth,'Someone but I am not sure who owes me a public apology here. /Larry ' ,public 
571429_3,oth,'Do nothing Are you serious about that?' ,
985359_2,self,'I should have been very careful before doing this.' ,
1398734_5,self,'I have stupidly deleted the original test dir but judging from the suite is output files no output was created after 3 1/2 hours.' ,original 
987223_1,self,'Matt... I am an idiot I used the wrong patch. Sigh.' ,wrong 
2120525_2,self,'Please close as this is just me being stupid.' ,
797123_1,self,'I am an idiot.' ,
2096621_2,self,'I am an idiot... there is nothing wrong with the readme.txt.' ,wrong 
155457_1,self,'Ok here is a patch that works. I was stupid enough not to see it...' ,
1029542_1,self,'i suck.' ,
798939_1,self,'Shit I missed a cast.' ,
1769700_1,self,'What a stupid name I chose for that object... -' ,stupid 
2495101_1,self,'I am an idiot this was a dupe of GUVNOR-84' ,
795658_1,self,'oh ...geez I am an idiot.' ,
520683_2,self,'I did it wrong this time.' ,
878663_1,self,'Oh my stupid' ,
376155_4,self,'Am I doing something stupid here?' ,stupid 
756748_2,self,'Aaarrggh how stupid of mine to have a System.out again!' ,
2132543_1,self,'Damn I forgot.' ,
137361_2,self,'This was a very bad bug introduced by me being an idiot.' ,bad 
2120525_1,self,'Crap forgot to verify that this is inconsistant with MRI it is not.' ,
305224_1,self,'Swear to god I am not a total idiot.' ,total 
1024843_1,ob,'Idiot Yeah I was on that idiot-path for a good while but commons-lang is a hairball at least where this hashcode making and equals is concerned.' ,good 
367902_5,ob,'I did not know we needed to retain backwards config capability across 3.x to 4.x That sucks and it will make old code stick around longer.' ,old 
1687237_4,ob,'Filling diags.log is bad mojo since it is never rotated.' ,bad 
681152_1,ob,'I wholeheartedly agree this API is confusing as hell.' ,
362807_1,ob,'Hmm that sucks.' ,
1182528_1,ob,'This looks reasonable to me... sucks we have to special case handling of ' '...' ,special 
367677_1,ob,'Ugh well that sucks.' ,
370394_4,ob,'This is bad.' ,
807104_1,ob,'Damn maven!' ,
1037141_1,ob,'Original edited patch was messed up... stupid sed!' ,Original 
1460620_5,ob,'Jira I wish you did not suck so much.' ,
1575811_3,ob,'That would suck.' ,
1217410_1,ob,'Ok wow welcome to Linux hell...' ,
306519_2,ob,'I do not know how the hell my diff program decided to add seemingly random CR chars but I have removed them now.' ,random 
132669_2,ob,'This way lies metadata hell.' ,
716082_59,ob,'This is always a really bad way to design software.' ,bad 
659090_1,ob,'Hmm ... this is quite bad.' ,
676102_5,ob,'This just seems really evil.' ,
1442549_8,ob,'That is bad.' ,
2181040_11,ob,'And debugging is hell because the test environment needs to have the exact same loader setup.' ,same exact 
227345_1,ob,'the recommendation in the wiki is bad.' ,
353052_1,ob,'BTW This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code forbidden checks should detect this somehow.' ,
2470534_1,ob,'That sucks why is not the escape mechanism working?' ,
422120_1,ob,'This is a pretty awful bug.' ,awful 
653972_4,ob,'-1 to jar hell.' ,
193462_1,ob,'This really sucks!' ,
1808616_1,ob,'Stupid Maven' ,
484844_2,ob,'I always get the same stupid error.' ,same stupid 
379645_2,ob,'Indeed that would be VERY bad design.' ,bad 
709675_2,ob,'I am starting to think of 'DLL Hell.'' ,
1805685_2,ob,'I am currently trying to get it into AJDT dev builds but my git push is timing out damn thing!' ,
1575813_1,ob,'Wow it is like Thrift is going out of their way to make life suck for us this month.' ,
2268304_1,ob,'This sucks badly.' ,
2264018_2,ob,'That irritated the hell out of me too but I did not realise it was configurable in the .launch file.' ,irritated 
564075_2,ob,'HTML is quite uncomfortable to work with.' ,
1600589_7,ob,'The food is very bad.' ,
2350557_2,ob,'Finally closing this bug from hell.' ,
689700_12,ob,'How on earth is it buggy?' ,
1197428_8,ob,'Tabs are evil.' ,
1742310_1,ob,'Wow that was some bad copy/paste work.' ,bad 
2127189_2,ob,'This sucks so much...' ,
289511_5,ob,'Bad IE.' ,
313850_1,ob,'durrrh that sucks.' ,
822155_2,ob,'Since this patch is so damn large already I wo not be making anymore changes to this other than critical/blocker bug fixes.' ,critical 
1574716_1,ob,'Well that sucks.' ,
711427_1,ob,' I hated that aspect of working for commercial companies.' ,
1099350_2,ob,'Blooper after blooper I hate SVN.' ,
1582964_1,ob,'The Async API in http client 4.x really sucks.' ,
1687818_1,ob,'It seems some of the wrappers in ink_hrtime.h might no longer be used either e.g. ink_gettimeofday is never used so lets get rid of that shit.' ,
1078380_4,ob,'Sorry but this is just stupid.' ,
715083_3,ob,'This sucks.' ,
2132048_1,ob,'Damn I would close this out from the fix to JBSEAM-3742 except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.' ,Damn 
320617_4,ob,'Im stuck with IE6 unfortunately.' ,
2085431_2,ob,'It really sucks that there is now way currently to include transitive dependencies.' ,
2153268_1,ob,'Damn it seemed it did not work.' ,
1625109_6,ob,'I just hate having no clue what a file is really depending on ' ,
711843_7,ob,' I used to be the latter but then I went to law school and got a degree in this shit. ' ,
350972_1,ob,'As far as the query shit i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread.setNamex or whatever and maybe restore after' ,
2162609_1,ob,'It sucks to lose the code readability but it seems like a reasonable price to pay.' ,reasonable 
1692382_1,ob,'Qianshi is working on the SSL session reuse but this buggy Bug system does not allow him assign this ticket sigh' ,
161056_1,ob,'Sigh I do not like this overall if ca not reuse everywhere.' ,
1093662_2,ob,'I found the sad attempt at a script you asked about and uploaded it to MAPREDUCE-4282.' ,sad 
1446136_2,ob,'Kind of sucks.' ,
766334_3,ob,'The eclipse ui was completly stuck which was similiar to the other experinces.' ,other 
1553771_1,ob,'It also happens at the very startup after he has loaded only 3 sstables hence DataTracker likely have 3 sstables not a shit load.' ,
540214_1,ob,'If I can give you one advice on this one I would say this fuck Derby use H2 instead as the default embedded database.' ,
1345883_2,ob,'The evil NPE strik back !!' ,evil 
801851_3,ob,'But even if it was not it would be totally worthless where it is at.' ,
1017556_1,ob,'And I think if we are going to do a sweep up of shit we should just kill root.' ,
1015575_79,ob,'which is silly bad package encapsulation.' ,bad silly 
132669_1,ob,'Negative I am against fetch groups in principle.' ,
440583_1,ob,'You would need to implement session resume thats a whole new can of worms.' ,whole new
653331_5,ob,'The rest are totally unrelated.' ,
769631_1,ob,'A stupid bug in a patch that is already applied.' ,stupid 
339681_3,ob,'If so a test that succeeds with errors is confusing as hell...' ,
1573478_1,ob,'+1 damn intellij it is not like patch format has not been standard for years' ,
695744_3,ob,'This was very bad documented.' ,
1001112_1,ob,'guys... this is so stupid...' ,
369884_1,ob,'bq. this is solr is fault by having a getter that does some heavy duty xml shit.' ,
390380_1,ob,'Damn dyslexia!' ,Damn 
1078538_5,ob,'But I will quit committing to Hama then because I am not going to support ONLY a binary format.' ,binary 
2263196_1,ob,'Hell this is gonna take me a lot of work to raise.' ,
367179_1,ob,'Oh man ... it is a fucking precendence problem.' ,fucking 
371904_5,ob,'I think we all know it just sucks.' ,
291420_1,ob,'Sun RI sucks why the hell is saveState and restoreState not called with with javax.faces.STATE_SAVING_METHOD = server???' ,
1544868_5,ob,'Well either you query the database every damn time and your plugin/tool/code will be super slow.' ,slow 
156058_1,ob,'It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.' ,stupid 
30216_1,oth,' Also you are incorrect.' ,
992325_1,self,'Ahhh I am stupid it works with hbase-git repository.' ,
788525_1,oth,'correct we hate users and never do what they ask for.' ,
133947_1,ob,'Damn acronyms Can you please elaborate on what does PIA mean?' ,Damn 
236504_2,ob,'Everything works like a charm now even in stupid Explorer -' ,stupid 
77406_2,ob,'I gave up with Hibernate and switched to OpenJPA.' ,
32970_1,self,'I stupidly did not cherry-pick my follow-up commit to 4.2.' ,
385337_2,ob,'I would hate to see it slowed down in the name of type-safety esp in code that Solr users do not have to interface with.' ,
371670_1,self,'I am an idiot .. trying to catch up on mail i completely missread almost everything about this issue.' ,
797123_1,self,'I am an idiot.' ,
2128962_1,self,'I am frankly a bit stupid sometimes.' ,
2122572_1,self,'I am stupid.' ,
35484_2,oth,'If you do not really care about this or do not really want it go ahead and close this issue.' ,
2115328_2,oth,'If you have got data coming in that is a gigantic decimal and you are allowing that through and then you are also trying to turn decimals into strings...maybe you are getting what you asked for.' ,
381049_1,oth,'Just a quick and petty comment + public static final String NEW_SEARCHER = 'newSrchr' + public static final String FIRST_SEARCHER = 'frstSrchr' No need to abbreviate so obtusely!' ,public final petty 
102573_1,ob,'Making class attributes protected is evil and will not happen.' ,
991526_1,self,'Man I am such an idiot.' ,
32529_1,oth,'Not going to sit here and argue this.' ,
795658_1,self,'oh ...geez I am an idiot.' ,
124282_2,oth,'Or ask their engineers to fix their issue?' ,
819471_2,self,'Problem was me being an idiot.' ,
2219752_1,self,'sometimes people can be so blind... Stupid me did not saw that SubClass is not extending SuperClass.' ,
675944_1,self,'Sorry my last comment was stupid as 1/8 of 8TB is still larger as Integer.MAX_VALUE I was thinking of Long.MAX_VALUE.' ,last 
1394914_1,self,'Sorry I am an idiot.' ,
376569_1,ob,'Stupid mistake.' ,
122412_1,oth,'Then sure would have been nice to have it reported before 3 days ago.' ,sure 
124674_2,ob,'This happened to me a dozen times in the last years maybe we can change the exception message?' ,last 
939164_1,self,'Ugh I am an idiot I already committed it.' ,
788525_2,oth,'users however who contribute and help out tend to get their wishes just like in an open source project scratch your own itches.' ,own open 
1600504_1,oth,'Vadim you are keeping us busy .' ,
127030_2,ob,'wrong resolution' ,wrong 
2221195_1,self,'yes I already said that my comment about assertEquals was stupid.' ,
237618_2,ob,' Synchronous requests are evil and they lock the browser...' ,Synchronous 
1554696,ob,'A somewhat kludgey fix for IntegerType data in cassandra.' ,kludgey 
2095536,ob,'Another case where Windows' default encoding is mucking us up I am sure.' ,
2120525_1,self,'Crap forgot to verify that this is inconsistant with MRI it is not. ' ,
360160,oth,'I do not care if everything is pretty or not but we should at least support basic admin functionality in IE IMO though I have not used it for years for just about anything.' ,basic 
237618_1,oth,'I do not say this would be difficult to add but why on earth would anyone want to do that?' ,
677195_1,oth,'I do not think my comment was ambiguous. ' ,
1540357,oth,'I suggest you try again with some actionable problem analysis 'here is what causes repair to become stuck here is how we should fix that' and without the 'everyone but me is an idiot' attitude.' ,actionable 
673511,ob,'I think java 7 close-with-resources is stupid too.' ,
531338,self,'I am stupid thanks David' ,
660665,oth,'If someone changes their similarity to use a different norm type at index-time than at query-time then he or she is an idiot!' ,different 
661653,ob,'It is not biggish It is same code as before I do not care but the RA autodetection was always horrible to me now its hidden behind something else!' ,same 
360134_1,ob,'It is not only useless its as stupid as shipping with rt.jar... ' ,
235879_1,ob,'It sucks but we wo not fix this for this version. ' ,
1569844,oth,'Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... Did you just tell me to go fuck myself?' ,same 
2179389,self,'Me being stupid nevermind -' ,stupid 
1067848,self,'no I am probably being an idiot...' ,
653758_2,self,'Not my day more beer needed!' ,
1184774_2,ob,'Not sure there is much we can do about this except for add an external script and/or shell out to execute that script from antrun... sucks.' ,external 
653758_1,self,'Oh fuck Sorry. ' ,
685363,self,'Oh forgive me if I just said something stupid ' ,stupid 
878663,self,'Oh my stupid' ,
2120525_2,self,'Please close as this is just me being stupid.' ,
1571360,self,'Reattaching v2 previous had a stupid mistake sorry about that.' ,previous stupid sorry 
1184774_1,ob,'So Java sucks when it comes to file perms... even if we unzip or untgz these files they will NOT have the correct permissions. ' ,correct 
121129,self,'Stupid me I looked at PersistentBag.addint Object instead of PersistentBag.addObject' ,
826415,ob,'This is especially bad because if executing via a Hive Server it will cause the service process to crash. ' ,
654611_2,oth,'We should not invoke the global synced fieldnumbers shit for every element only when the setting actually changes' ,synced global 
654182,oth,'who the fuck is asking for scores but not the max score and why does their insanely specialized use case justify all these booleans on a central lucene class. ' ,central 
661563,self,'Whoops there is a stupid 'if i != 5 continue' on line 68 which I should have labelled with a NOCOMMIT that is in the patch.' ,
236635,ob,'yeah well it still seems pretty damn stupid to me obviously 2 doesnt have any negative values if i am testing for something that is odd it is natural to test if 2==1 not if 2!=0 in fact it made me stare at it for a while....' ,negative pretty 
235879_2,ob,'Yet another stupid corner case people might bump their heads against ' ,stupid 
178034_2,ob,'I hate continually moving things back but it really is a better place to get fixed especially considering the major configuration changes that have happened there.' ,better major 
10179_49,ob,' sannegrinovero hardy I guess that since I am living the Lucene4 migration pain myself I can see how people get put off when a library changes too much in one go.' ,sannegrinovero much 
184871_1,ob,'That is truly wonderful and yet delightfully useless to anyone who ignores the insulting commentary and tries to use the link.' ,insulting useless 
190503_3,ob,'The drop shadow is not possible without some ugly css hacks unless you add another text node behind the one you want to shadow.' ,ugly 
315174_2,ob,'It is so annoying having to add the fix manually to each new release of tapestry Please!' ,new 
186095_17,ob,'I hate those I never say never but I do not think this is the issue.' ,
138723_2,ob,'This is a terrible data model and not at all common.' ,terrible 
166136_3,ob,'ContainerRequest is a dumb data object.' ,dumb 
160416_6,ob,'So as much as I hate to do it we can add a config yarn.client.static-nmtokens-cache that is set to true by default.' ,much 
35532_1,ob,'This is such an annoying thing missing in Hibernate.' ,annoying 
167004_3,ob,'I am -1 on changes for CS this really complicates reservations and could lead to too much fragmentation.' ,much 
312691_4,ob,'Workaround that is approachable Inject Path '/prototype.js' private Asset _prototypeJs boolean beginRender MarkupWriter writer throws Exception tDocument d = writer.getDocument tElement head = d.find'html/head' t thead.element 'script' 'src' _prototypeJs.toClientURL But that somehow is ugly.' ,approachable private boolean 
134697_2,ob,'I hate html incompabilities.' ,
153322_7,ob,'I am going to go with 2 for now although it is ugly because it is correct and hopefully relatively quick to do. ' ,quick 
287744_3,ob,'I know the log message is annoying but it does not break the server as you state.' ,
314175_1,self,'Ok I am just stupid.' ,
188432_4,self,'I have been very stupid not thinking about destructors ... ' ,
29410_1,ob,'The inner processing loop of HS is not very robust and dies a horrible death in the event of any form of exception such as ENFE.' ,horrible inner 
138210_6,ob,'With regard to using the forum I think it is been pretty worthless posting there moreover the searching capability to try to find an answer is horrible for complex search queries.' ,complex 
132775_1,ob,'More annoying it seems to ignore Transient annotation since the following method causes the problem Transient public Set getTerminalIds return null ' ,annoying Transient More following public null 
184185_4,ob,'Not a good fix!!' ,good 
137496_26,oth,'- Funny how many users are so willing to complain about Hibernate not 'properly' handling faulty JDBC drivers. ' ,faulty many 
141771_1,oth,'Seems like I am not getting support for good design ideas second one that is rejected.' ,good 
141234_2,oth,'Users can be stupid AND arrogant at the same time!' ,same arrogant 
124080_1,ob,'This is a very annoying BUG and unfortunately the above descriptions and motivations suggest that it will not be easy to fix it.' ,above annoying 
116410_10,ob,'The annoying side effect for providing your own connection is the ON_CLOSE warnings it gives when the session is closed.' ,own annoying 
292218_4,ob,'I would hate to have attributes like 'maySelectInPast' 'maySelectInMarch2005' coming up regards Martin' ,
28869_2,ob,'I am going back to eclipse just battling too much with IntelliJ.' ,
295244_1,oth,'Reopening it I hate you Anonymous!' ,
295395_3,self,'Alas I still see the same failures as before on Linux and shame on me for not mentioning the platform earlier.' ,same 
33651_1,ob,'4.2.1.Final still has this annoying issue.' ,
137979_1,ob,'HB-1114 was closed without fixing it but this error is really annoying.' ,
138648_3,ob,'However DB2390Dialect and DB2400Dialect are now identical which is kinda ugly...' ,
82177_2,ob,'This is getting annoying.' ,
164302_1,ob,'Removing the ability to request multiple containers would be an annoying regression for a large class of applications that merely want a non-locality-constrained bunch of processes on the cluster.' ,large non-locality-constrained annoying multiple 
186269_7,ob,'I agree that INVALID is a horrible identifier.' ,horrible 
166633_6,ob,'I do not know if this is a serious issue but will definitely be annoying for someone trying to monitor application container.' ,serious annoying 
510834_2,oth,'shame on you' ,
140253_2,ob,'However the Deprecated annotation must not be used as this is noisy and annoying for users.' ,annoying 
168967_14,ob,'AbstractService The inner method-names do not look good when using the service stuff.' ,inner 
179857_2,self,'It appears that there are no show-stoppers then besides my ignorance in compiling the schema.' ,
186407_11,ob,'Nowadays almost anything could fall in some stupid patent issue.' ,stupid 
35533_1,ob,'This is indeed annoying especially when your moving from an other persistence api where it is possible.' ,other 
16672_1,ob,'Ah stupid modular system.' ,modular stupid 
176406_2,ob,'They might be a bit annoying to write for this class but doable.' ,doable 
295394_3,self,'Alas I still see the same failures as before on Linux and shame on me for not mentioning the platform earlier. ' ,same 
132409_2,ob,'The only annoying thing left here is 'parameter-list expansion' and that is very non-trivial...' ,annoying only 
314199_2,ob,'Hacking ResourceStreamerImpl to use System.currentTimeMillis when lastModified == 0 and a suitable change in AssetDispatcher.java to send not modified even when lastmodified == 0 is an ugly workaround but appears to solve the issue.' ,suitable ugly 
183455_2,ob,'I hate that mechanism!' ,
164236_10,oth,'But we cannot stop this from happening if somebody is doing something stupid.' ,stupid 
663569_6,ob,'In Solr we should also add commons.io to this classpath as lots of tests and core classes use the horrible IOUtils methods to converty binary files to strings or copy InputStreams to Strings.' ,binary horrible 
138211_3,oth,'If you think our help is worthless please talk to yourself. ' ,
156474_2,ob,'Oh the formatting is ugly but the result is the same.' ,same 
183997_1,self,'Well I did a stupid thing.' ,stupid 
291821_2,ob,'No matter if this will be 'fixed' it is annoying that it is logged as an ERROR.' ,
178186_1,self,'OMG I did not realize that it is in utils package.' ,
292116_4,ob,'This is quite an annoyance as I want server-side switching and statefulness but in looks horrible in IE.' ,horrible 
319977_10,ob,'It is rather frustrating to find that there is enough time to complain and hack around things but apparently not enough time to collaborate.' ,enough enough 
10384_1,ob,'Well in my case I now use an ugly workaround splitting the string adding as a must and catching the errors when I encounter a stopword term in a number of places.' ,stopword ugly 
1626_9,ob,'And as for 'changing it just in Maven' sorry but thats a stupid idea.' ,stupid 
180024_4,ob,'As it stands its just plain nasty.' ,
182725_4,ob,'This is a pretty ugly problem if you want your XML to be pretty-printed then your text content will get mangled.' ,ugly 
122118_1,ob,'I am also bitten by this nasty!' ,
187748_9,ob,'I think calling getCharRefcount fAposRef gAposRef directly is not that much typing Macros are the spawn of the devil I hate them.' ,much 
179736_6,ob,'The annoying thing is when creating the .jar with xmlbeans itself only way working so far I do not have full control about javac options used.' ,annoying 
286713_7,ob,'It is too much code for this unusual usecase.' ,unusual much 
186014_4,ob,'Perhaps the thing to do is to rely on a stack-based buffer for strings up to a certain length plus couple that with a dumb transcoder that only does ASCII characters.' ,certain dumb 
136450_1,ob,'stupid bug.' ,stupid 
317333_1,ob,'I have came across this one lately and it is annoying indeed.' ,annoying 
2295_1,self,'It was another dumb error from my part.' ,dumb 
77365_2,ob,'Extremely annoying bug I ca not imagine this is a feature.' ,annoying 
190865_1,ob,'The annoying xslkey bug is still present in the current Xalan-J Subversion trunk version.' ,current annoying 
28365_8,ob,'That was a nasty bug. ' ,nasty 
972_1,ob,'Honestly the test case attached is not very good.' ,
2455_1,ob,'And yes I agree with you that making MetaAttribute mutable was quite ugly.' ,
133953_2,ob,'Stupid kiddie trackback stuff.' ,
447819_1,ob,'I am giving up on this.' ,
177105_2,ob,'This is a really ugly hack and the better long-term solution is to provide native support for collections that use generics rather than the XWorkList.' ,better native long ugly 
280730_1,ob,'Fixed stupid buffer size bugs.' ,stupid 
183010_4,ob,'Advice This is partly related to the Great Namespace Debate/Debacle which consumed entirely too much W3C attention for entirely too long.' ,Great much 
30241_6,ob,'Using a Date as a PK is horrible.' ,
135733_6,self,'I must have dumb hat on today.' ,dumb 
14358_2,ob,'The screaming read performance of Hibernate Search is offset by horrible write performance as an update to a branch in a Document cascades back to a full root object initialization as the entire Document has to be recreated from scratch.' ,full horrible entire 
129071_1,ob,'This issue is really annoying... another possible fix.' ,possible 
167788_22,ob,'launchContext.getUser.equalstokenId.getApplicationSubmitter this is now a worthless check.' ,worthless 
376569_1,ob,'Stupid mistake.' ,Stupid 
153473_14,ob,' Checking an environment variable to decide whether to wrap the callback in a Ruby thread is ugly.' ,
140424_14,ob,' -1 for adding a dependency to CDI I find it a bit annoying as a user when I define a provider in the XML descriptor but I also have to use a qualifier in my injection points.' ,
23560_1,ob,'I do not like this too much.' ,
187958_8,ob,'So yes using the XMLEntityResolver works better turning this solution from an awkward hack to a merely annoying workaround.' ,annoying awkward 
146027_1,ob,'I am submitting a simple patch to solve this annoying issue.' ,annoying simple 
135966_4,ob,'Also all variables except dates are defined not-null instead of a null for a FK string they use a single space really annoying.' ,annoying single 
135151_1,ob,'I found this annoying so I has a crack at it.' ,
313228_1,ob,'Annoying that uploads are so hard to test even with Selenium.' ,
176103_2,ob,'The confusion and mixup between OgnlValueStack ActionContext ActionInvocation etc is too much.' ,
